id,name,email,passwordHash,role,createdAt,updatedAt,status
cmo1rkwbf0001vf68nhcejvf1,admin,admin@smartcargo.com,$2b$10$erb4ItM0DSvwU0N1O9EmIetW870l022HQmawGFLk2FEiH/0.1wiba,ADMIN,2026-04-16 17:39:36.982,2026-04-16 17:39:36.982,ACTIVE
cmo1yduid0000vf5c5dno0eux,tewfik,tofik@gmail.com,$2b$10$BfnlH8qdA4dRWUYWnrxJyuW7CgUrya5DeN1q9TdWmbG3QCszyPfiC,CUSTOMER,2026-04-16 20:50:05.337,2026-04-16 20:50:05.337,ACTIVE
cmo4duhvp0000vfssz0ahug06,tofik,tofidm@ddk,$2b$10$fPqyrretd4MhBK8KFL3kjuCJodlJUZUohXQOJu041h6Ss1rvVXC8a,CUSTOMER,2026-04-18 13:38:28.741,2026-04-18 13:38:28.741,ACTIVE
cmo4e42yu0000vf5kdotf2r8e,tofik,admin@smartcarg.com,$2b$10$.BHcyYk6PhC07rBp9EfAM.ALkMnuAVatKz5VTcWpyGUbFU9O5HeXS,CUSTOMER,2026-04-18 13:45:55.975,2026-04-18 13:45:55.975,ACTIVE
cmo4e4m6q0001vf5k1b257w0q,dxs,admin@smartcgo.com,$2b$10$vFTQSBSda63BObgo3me.QuydMIl6buTcCZHLwy8uxcI7vxnPjZjm2,CUSTOMER,2026-04-18 13:46:20.883,2026-04-18 13:46:20.883,ACTIVE
cmo4eey530002vf5kq41bq64l,Driver One,driver1@smartcargo.com,$2b$10$iE28o0/3O4RI3Wag8SeinuiwaHmgrcwVVloh79XXYDC673QlaiY.C,DRIVER,2026-04-18 13:54:22.935,2026-04-18 13:54:22.935,ACTIVE
cmo4o0tjr0000vf080wdpqhbf,cd,cdcd@sxs,$2b$10$hSJvWV0//gPcREd2srtdu.QgMkq/rQfDCv6B0vfK9fTY4RiyQ8jki,CUSTOMER,2026-04-18 18:23:19.953,2026-04-18 18:23:19.953,ACTIVE
cmo4p5xbc0001vf08dtiylv3a,wxsx,xsxs@xsx,$2b$10$JAmom6YakJGxQTkQb5At7Oi.fRLMFNKV0mHdyCC7oINiGaR5p5w5O,CUSTOMER,2026-04-18 18:55:17.729,2026-04-18 18:55:17.729,ACTIVE
cmo4pj7ls0002vf0896ompsyk,dddd,zxsxs@sszw,$2b$10$VIh.clnhjin6S6J0E5bl/.RDsKlCKHkIWGib3sCHt.gptEGD91752,CUSTOMER,2026-04-18 19:05:37.599,2026-04-18 19:05:37.599,ACTIVE
cmo5grk3r0000vffkozgqieao,de,dewd@ede,$2b$10$E0jdBJc4qLsyaOBiFXXlPOS1MJyOcCGC97gFy6y8FKU9tuhCQm646,CUSTOMER,2026-04-19 07:47:56.553,2026-04-19 07:47:56.553,ACTIVE
cmo5hk6yn0001vffkulwc8ooo,cdx,sw2sw@w,$2b$10$9fYBWvCEMaaxJ6u3TnQwQOlmbDt04YMmA9yg1RmqCmgttRUOBai5G,CUSTOMER,2026-04-19 08:10:12.67,2026-04-19 08:10:12.67,ACTIVE
cmo6tb40k0000vfdwurh2nh4v,aaaa,aaaa@a,$2b$10$SZmqavBieRS45nFesfzVvO2ppp6sCNpAXGzZxeb2KQV/NejKqy0Vy,DRIVER,2026-04-20 06:26:50.442,2026-04-20 06:26:50.442,ACTIVE
cmo6tuxtj0001vfdwzrh56srs,aaaa,aaaa@aa,$2b$10$Dckfp9GS2hMA/VRAz2AHaOOZ7oauRsZxJRRV/cpnrpRQh507Xgbee,CUSTOMER,2026-04-20 06:42:15.606,2026-04-20 06:42:15.606,ACTIVE
cmo6wsb0n0000vfdo9415446h,Admin,admin@12,$2b$10$hMMeqH7xIeEbQCSlQ2uXzOML68z.OZ.Oa1bezBkK/0zDDp64kGYc2,ADMIN,2026-04-20 08:04:11.592,2026-04-20 08:04:11.592,ACTIVE
cmo76zcow0000vfpk456hxhq6,dr,dr@12,$2b$10$EVnc/dfLb9H00HRIR02d.OMyBoHA/KEaIg0aD.1xhzj3W5HPFGgW.,DRIVER,2026-04-20 12:49:36.352,2026-04-20 12:49:36.352,ACTIVE
cmo9tf4cw0000vfysbys7tcfz,driver 1,driver@driver.com,$2b$10$xdFAWcBDyIe6m2E7Zy6sku2mvY.PWtN6UEh2ZduHtmrEDLo7uGnjW,DRIVER,2026-04-22 08:53:16.108,2026-04-22 08:53:16.108,ACTIVE
cmo9tnktb0000vfu4bm2sdqhx,abe,abe@12,$2b$10$YAGjw1ohBMCosSdFs.75.OeBQHbKJwbMZoiV/2jseAjWQk.spZOLS,CUSTOMER,2026-04-22 08:59:50.687,2026-04-22 08:59:50.687,ACTIVE
